River,Date,Population
Copper River,1978,107011
Copper River,1979,237173
Copper River,1980,276538
Copper River,1981,535263
Copper River,1982,467306
Copper River,1983,545724
Copper River,1984,536806
Copper River,1985,436313
Copper River,1986,508600
Copper River,1987,483478
Copper River,1988,488398
Copper River,1989,607797
Copper River,1990,581859
Copper River,1991,579435
Copper River,1992,601952
Copper River,1993,833387
Copper River,1994,715577
Copper River,1995,599215
Copper River,1996,906867
Copper River,1997,1148079
Copper River,1998,866957
Copper River,1999,850951
Copper River,2000,587497
Copper River,2001,833198
Copper River,2002,819886
Copper River,2003,700537
Copper River,2004,669470
Copper River,2005,854268
Copper River,2006,959731
Copper River,2007,926438
Copper River,2008,718344
Copper River,2009,709748
Copper River,2010,924010
Copper River,2012,1271354
Copper River,2013,1267060
Copper River,2014,1177005
Copper River,2015,1341545
Copper River,2016,801593
Copper River,2017,723426
Copper River,2018,701577
Copper River,2019,1039354
Copper River,2020,530313
Copper River,2021,751262
Copper River,2022,785509
Copper River,2023,991740
Naknek,1958,278118
Naknek,1959,2231807
Naknek,1960,828381
Naknek,1961,351078
Naknek,1962,723066
Naknek,1963,905358
Naknek,1964,1349604
Naknek,1965,717798
Naknek,1966,1016421
Naknek,1967,755556
Naknek,1968,1022340
Naknek,1969,1331202
Naknek,1970,732502
Naknek,1971,935754
Naknek,1972,586518
Naknek,1973,356676
Naknek,1974,1241058
Naknek,1975,2026686
Naknek,1976,1320750
Naknek,1977,1085856
Naknek,1978,813378
Naknek,1979,925362
Naknek,1980,2644686
Naknek,1981,1796220
Naknek,1982,1155552
Naknek,1983,888078
Naknek,1984,1242474
Naknek,1985,1849988
Naknek,1986,1854558
Naknek,1987,1061806
Naknek,1988,1037244
Naknek,1989,1161984
Naknek,1990,2092578
Naknek,1991,3578548
Naknek,1992,1606650
Naknek,1993,1535658
Naknek,1994,990810
Naknek,1995,1111140
Naknek,1996,1078098
Naknek,1997,1025664
Naknek,1998,1202172
Naknek,1999,1625364
Naknek,2000,1375488
Naknek,2001,1830360
Naknek,2002,1263918
Naknek,2003,1831170
Naknek,2004,1939374
Naknek,2005,2744622
Naknek,2006,1953228
Naknek,2007,2945304
Naknek,2008,2416782
Naknek,2009,1169466
Naknek,2010,1463928
Kenai,1979,412979
Kenai,1980,667470
Kenai,1981,575847
Kenai,1982,809174
Kenai,1983,866453
Kenai,1984,481470
Kenai,1985,680897
Kenai,1986,645906
Kenai,1987,2245610
Kenai,1988,1356958
Kenai,1989,2295575
Kenai,1990,950357
Kenai,1991,954841
Kenai,1992,1429867
Kenai,1993,1134923
Kenai,1994,1412050
Kenai,1995,884922
Kenai,1996,1129274
Kenai,1997,1512731
Kenai,1998,1084993
Kenai,1999,1137003
Kenai,2000,900695
Kenai,2001,906333
Kenai,2002,1339681
Kenai,2003,1656026
Kenai,2004,1945383
Kenai,2005,1908823
Kenai,2006,2064726
Kenai,2007,1229944
Kenai,2008,917138
Kenai,2009,1090057
Kenai,2010,1294885
Kenai,2012,1581555
Kenai,2013,1359893
Kenai,2014,1523155
Kenai,2015,1709053
Kenai,2016,1383692
Kenai,2017,1308498
Kenai,2018,1035761
Kenai,2019,1849054
Kenai,2020,1714565
Kenai,2021,2441825
Kenai,2022,1567750
Kenai,2023,2351020
Nushagak,1980,1199225
Nushagak,1981,944139
Nushagak,1982,664124
Nushagak,1983,280908
Nushagak,1984,593182
Nushagak,1985,421317
Nushagak,1986,845518
Nushagak,1987,472343
Nushagak,1988,540105
Nushagak,1989,591552
Nushagak,1990,744323
Nushagak,1991,596810
Nushagak,1992,777956
Nushagak,1993,812911
Nushagak,1994,605280
Nushagak,1995,366929
Nushagak,1996,555778
Nushagak,1997,413740
Nushagak,1998,576369
Nushagak,1999,374230
Nushagak,2000,459872
Nushagak,2001,895718
Nushagak,2002,402822
Nushagak,2003,951177
Nushagak,2004,1600504
Nushagak,2005,1746280
Nushagak,2006,1334537
Nushagak,2007,739983
Nushagak,2008,916893
Nushagak,2009,1004565
Nushagak,2010,779235
Nushagak,2012,435376
Nushagak,2013,894172
Nushagak,2014,618493
Nushagak,2015,796684
Nushagak,2016,680513
Nushagak,2017,2852308
Nushagak,2018,1247460
Nushagak,2019,709431
Nushagak,2020,1228059
Nushagak,2021,4697299
Nushagak,2022,3455272
Nushagak,2023,1772676
